item_number,Signal Code,rtcc_footage_requested
i-14140-20,20,yes
i-14690-20,100,yes
i-14721-20,100,yes
i-14804-20,20,yes
i-14764-20,35D,yes
i-14758-20,37,yes
i-14730-20,52F,yes
i-14966-20,20,yes
i-15160-20,21G,yes
i-14980-20,107,yes
i-15271-20,20-I,yes
i-04836-20,55,yes
i-15935-20,20I,yes
i-16053-20,103F,yes
i-15990-20,24,yes
i-16060-20,20I,yes
i-15299-20,64J,yes
i-16220-20,20,yes
i-16048-20,67A,yes
i-16205-20,100,yes
i-16535-20,64-G,yes
i-16535-20,64-G,yes
"i-16872-20,",103-F,yes
i-17408-20,67AR,yes
i-17511-20,58R,yes
i-17677-20,20,yes
i-16161-20,30S,yes
i-13446-20,58R,yes
i-18169-20,21,yes
i-18170-20,67A,yes
i-18134-20,103 F,yes
i-17945-20,18,yes
i-18332-20,18,yes
i-17819-20,21,yes
i-18304-20,67 A,yes
i-18360-20,20I,yes
i-16535-20,64,yes
i-13756-20,21,yes
i-18466-20,107,yes
i-18073-20,67,yes
i-18720-20,24,yes
i-18943-20,20I,yes
i-11608-20,67,yes
i-18978-20,20,yes
2020-0444p,PIB,yes
i-19120-20,67S,yes
h-18689-20,67A,yes
i-19231-20,20,yes
i-19323-20,34C,yes
h-33936-20,37,yes
i-19429-20,107,yes
i-19450-20,20,yes
i-19613-20,18,yes
i-19628-20,18,yes
i-19688-20,18,yes
i-19692-20,52F,yes
i-19231-20,20,yes
i-19451-20,103,yes
i-19736-20,18,yes
i-19746-20,103,yes
i-19659-20,34-D,yes
i-19830-20,18,yes
h-37638-20,30 S,yes
i-19889-20,67A,yes
i-19910-20,100-I,yes
i-20166-20,37/67C,yes
i-20282-20,65,yes
i-20443-20,20,yes
i-07882-20,100,yes
i-00820-20,21,yes
i-20590-20,67A,yes
i-20635-20,20I,yes
i-06225-20,34S,yes
i-20756-20,107,yes
i-16161-20,30-S,yes
i-21103-20,34-S,yes
i-20836-20,34S,yes
i-16535-20,64,yes
i-21081-20,34S,yes
i-21553-20,106,yes
i-21841-20,20,yes
i-21818-20,67A,yes
d-34707-20,21,yes
i-21940-20,20,yes
i-22041-20,20,yes
i-21995-20,20,yes
i-22049-20,100,yes
i-22041-20,20,yes
i-22160-20,20,yes
i-22213-20,100,yes
i-22331-20,21,yes
i-22278-20,20,yes
i-22487-20,64,yes
i-22472-20,67A,yes
i-22668-20,64J,yes
i-22854-20,20,yes
i-22950-20,103,yes
i-22100-20,34,yes
i-22293-20,65,yes
i-23128-20,106,yes
i-15112-20,67A,yes
i-20212-20,62C,yes
i-01560-20,62R,yes
i-23189-20,100,yes
i-23227-20,20-I,yes
i-21610-20,62,yes
i-23295-20,100,yes
i-23222-20,64G,yes
i-23390-20,20,yes
i-23469-20,107,yes
i-23295-20,100,yes
i-23479-20,67S,yes
i-12891-20,64-G,yes
i-23218-20,103,yes
i-21224-20,94,yes
i-23625-20,21G,yes
i-23725-20,21G,yes
i-23826-20,103 F,yes
i-05617-20,67A,yes
i-24097-20,21,yes
i-24257-20,20-I,yes
i-24210-20,37D,yes
i-24309-20,20,yes
i-24506-20,63P,yes
i-24647-20,21,yes
i-24722-20,52F/20,yes
i-24848-20,103,yes
i-24875-20,21G,yes
i-24809-20,64J,yes
i-24881-20,103,yes
i-24757-20,67A,yes
i-24836-20,67 A,yes
i-24933-20,100,yes
i-24969-20,20,yes
i-25076-20,20,yes
i-25299-20,100,yes
i-25449-20,107,yes
i-25451-20,100,yes
i-25517-20,20,yes
i-25654-20,37,yes
i-25735-20,67A,yes
i-25790-20,103F,yes
i-25843-20,18,yes
i-11746-20,35,yes
i-25849-20,21G,yes
i-25844-20,21G,yes
i-25812-20,34 S,yes
i-25913-20,21G,yes
i-25839-20,67 A,yes
i-25934-20,18,yes
i-25785-20,21,yes
i-26106-20,21,yes
i-26098-20,67A,yes
i-26527-20,20,yes
i-26493-20,94,yes
i-26758-20,20,yes
i-26794-20,20,yes
i-26852-20,20,yes
i-26002-20,37,yes
i-27013-20,58R,yes
i-27109-20,20,yes
i-26852-20,20,yes
i-27360-20,64-J,yes
i-27690-20,37,yes
i-27109-20,20,yes
i-27119-20,64J,yes
i-27306-20,20,yes
i-22330-20,64J,yes
i-27947-20,29U,yes
i-27773-20,21R,yes
i-28378-20,103,yes
i-21829-20,37,yes
i-28634-20,30-S,yes
i-28864-20,21,yes
i-28649-20,94,yes
i-11746-20,64,yes
i-28826-20,34S,yes
i-28951-20,64J,yes
i-29559-20,21,yes
i-29656-20,20,yes
i-00320-20,21,yes
i-29559-20,21,yes
i-29578-20,62C,yes
i-28634-20,30S,yes
i-21829-20,37,yes
i-29897-20,64J,yes
i-30011-20,21G,yes
i-30117-20,18,yes
i-30136-20,103F,yes
i-21829-20,37,yes
i-26002-20,37,yes
i-30110-20,64 J,yes
i-30190-20,21G,yes
i-30200-20,21G,yes
i-30178-20,103,yes
i-30144-20,37,yes
i-30144-20,37,yes
i-30244-20,34 S,yes
i-30479-20,103,yes
i-30569-20,103,yes
i-30875-20,21,yes
i-30952-20,20,yes
i-28373-20,62C,yes
i-31015-20,20-I,yes
i-30217-20,64J,yes
i-31193-20,20I,yes
i-31266-20,20I,yes
i-31304-20,20,yes
g-23400-20,21,yes
i-31293-20,107,yes
i-31361-20,63P,yes
i-31396-20,18,yes
i-31454-20,21G,yes
i-28716-20,65,yes
g-19773-20,67A,yes
i-31362-20,20 I,yes
i-31573-20,21G,yes
i-31623-20,21G,yes
i-31640-20,20,yes
i-31722-20,103,yes
i-31735-20,18,yes
i-31905-20,18,yes
i-31627-20,20,yes
i-31852-20,56,yes
i-31940-20,18,yes
i-29390-20,21ID,yes
i-32200-20,21ID,yes
i-32234-20,100,yes
i-27360-20,64J,yes
i-32062-20,67A,yes
i-32513-20,20,yes
i-32617-20,20,yes
i-32636-20,20,yes
i-32668-20,21,yes
i-32283-20,67C,yes
i-32715-20,20I,yes
i-32726-20,94,yes
i-32726-20,94,yes
i-33167-20,20-I,yes
i-32955-20,18,yes
i-33177-20,34S,yes
i-33439-20,107,yes
i-33406-20,34S,yes
i-34043-20,103,yes
i-34100-20,20,yes
i-34117-20,103-F,yes
i-34159-20,20,yes
h-11261-20,966,yes
i-33218-20,56,yes
i-34212-20,103F,yes
i-34427-20,20-I,yes
i-34426-20,103F,yes
i-34696-20,20,yes
i-34763-20,94,yes
i-34917-20,103M,yes
i-34981-20,20I,yes
i-35003-20,94,yes
i-35033-20,20,yes
i-35107-20,20I,yes
i-35278-20,34S,yes
i-35298-20,100,yes
i-35278-20,34S,yes
i-35548-20,107,yes
i-35714-20,100,yes
i-35731-20,34-C,yes
i-35708-20,30S,yes
i-36109-20,20C,yes
i-36170-20,100,yes
h-11261-20,966,yes
i-32074-20,62B,yes
i-35278-20,34S,yes
i-36368-20,67S,yes
"34s, i-33386-20",34S,yes
i-33829-20,55,yes
i-36679-20,107,yes
i-36819-20,21,yes
i-36976-20,64J,yes
i-36965-20,62R,yes
i-37032-20,18,yes
i-37138-20,18,yes
i-37186-20,63,yes
i-37135-20,65 P,yes
i-37247-20,56,yes
i-37149-20,62-B,yes
i-37311-20,18,yes
i-37330-20,18,yes
i-37697-20,30S,yes
i-26999-20,34,yes
i-24257-20,20,yes
i-38020-20,20-I,yes
i-31009-20,67B,yes
k-31254-17,95G,yes
i-38198-20,18,yes
i-38216-20,18,yes
i-38274-20,18,yes
i-38298-20,18,yes
i-32726-20,94,yes
i-36679-20,107,yes
i-38451-20,106,yes
i-38410-20,20,yes
i-38480-20,18,yes
i-38542-20,21,yes
i-38594-20,18,yes
i-38675-20,18,yes
i-38756-20,18,yes
i-38761-20,18,yes
i-38771-20,18,yes
i-31009-20,I-31009-20,yes
i-38987-20,100,yes
i-39101-20,94,yes
i-39284-20,100,yes
i-39226-20,34S,yes
i-39116-20,21,yes
h-11261-20,966,yes
i-37697-20,30S,yes
i-37045-20,62c,yes
i-39273-20,55,yes
i-37135-20,65,yes
i-39547-2,34-S,yes
i-31738-20,64G,yes
i-39570-20,37,yes
i-36679-20,21,yes
j-000128-20,37,yes
i-34641-20,37,yes
j-00783-20,21ID,yes
j-00882-20,20I,yes
i-01029-20,67A,yes
i-00925-20,67,yes
i-37697-20,30S,yes
i-01122-20,20,yes
j-01211-20,94,yes
i-37135-20,65-P,yes
j-01437-20,64-G,yes
j-01516-20,67,yes
i-39895-20,35,yes
j-01725-20,20,yes
j-01972-20,100C,yes
i-30244-20,34S,yes
i-39491-20,67A,yes
i-38106-20,34S,yes
j-02085-20,100I,yes
i-37135-20,65P,yes
i-39273-20,55,yes
j-02342-20,18,yes
j-02419-20,107,yes
j-02433-20,21G,yes
i-39273-20,55,yes
i-39375-20,62R,yes
j-02328-20,20,yes
j-02465-20,103,yes
j-02431-20,35,yes
j-02513-20,34S,yes
j-02647-20,35,yes
j-02895-20,21,yes
j-02884-20,30S,yes
j-02880-20,67,yes
j-03173-20,34S,yes
j-03173-20,34S,yes
i-38106-20,34S,yes
j-03238-20,20,yes
j-03425-20,56,yes
j-03475-20,63P,yes
j-03321-20,56,yes
j-03281-20,100,yes
j-03589-20,103,yes
j-03754-20,103F,yes
j-03778-20,30 S,yes
j-03824-20,67A,yes
j-03890-20,100I,yes
j-03915-20,103,yes
j-03958-20,103F,yes
j-03974-20,18,yes
j-03882-20,35,yes
j-04012-20,21 G,yes
j-04058-20,18,yes
j-04081-20,18,yes
j-04131-20,18,yes
j-04274-20,20,yes
j-03641-20,67,yes
j-04236-20,67A,yes
j-04172-20,65J,yes
j-04413-20,62C,yes
j-04644-20,100-I,yes
j-04648-20,64G,yes
j-04829-20; 30-c,30-C,yes
j-04868-20,"27 , 67",yes
j-04794-20,21 G,yes
j-05462-20,20I,yes
j-05463-20,21,yes
j-05557-20,20I,yes
j-05479-20,20,yes
j-05634-20,20I,yes
j-05637-20,20,yes
i-00820-20,21,yes
j-05716-20,37,yes
i-39895-20,35,yes
j-04829-20,30c,yes
j-05775-20,20I,yes
j-05910-20,64G,yes
j-05912-20,35,yes
j-05990-20,20I,yes
j-05990-20,20,yes
j-06057-20,20,yes
j-06100-20,21,yes
j-06159-20,67A,yes
j-02513-20,34S,yes
j-06249-20,94,yes
j-06429-20,94,yes
j-06591-20,100I,yes
i-24786-20,64J,yes
i-24830-20,64J,yes
i-30217-20,64J,yes
j-06690-20,20I,yes
j-06653-20,100,yes
h-11261-20,966,yes
j-06566-20,21,yes
j-07285-20,20,yes
j-06988-20,37,yes
i-27557-20,30S,yes
j-07627-20,94,yes
j-07437-20,103,yes
j-07500-20,108,yes
j-08011-20,103,yes
h-11261-20,966,yes
j-08088-20,67,yes
j-08164-20,37,yes
j-08164-20,37,yes
j-03778-20,30S,yes
j-08208-20,60,yes
j-07987-20,67A,yes
j-08682-20,30S,yes
j-08624-20,103,yes
j-08680-20,20 I,yes
j-08779-20,20,yes
j-08608-20,64 G,yes
tu-35375-20,106,yes
j-09123-20,100,yes
j-09541-20,103,yes
j-09551-20,63P,yes
j-09611-20,35,yes
j-09628-20,20,yes
j-02884-20,30S,yes
j-09472-20,67,yes
j-09750-20,21G,yes
j-09855-20,21,yes
j-09907-20,63,yes
i-33177-20,34S,yes
j-09963-20,103,yes
j-09978-20,37,yes
j-10159-20,64 G,yes
j-10210-20,21,yes
j-04712-20,65J,yes
i-10343-20,100,yes
j-10475-20,20I,yes
i-24836-20,64J,yes
j-07987-20,67A,yes
j-10701-20,103F,yes
j-10706-20,20I,yes
j-09941-20,34S,yes
i-00820-20,21,yes
h-11261-20,21,yes
i-11985-20,56,yes
j-10956-20,103D,yes
i-36679-20,21,yes
j-09941-20,34S,yes
j-11034-20,34,yes
j-11303-20,35,yes
j-11648-20,94,yes
j-11912-20,20,yes
j-11960-20,20,yes
j-00117-20,30S,yes
j-10706-20,20I,yes
j-00378-20,20,yes
j-00242-20,62C,yes
j-12067-20,20,yes
j-11653-20,30S,yes
j-12015-20,65,yes
j-12126-20,21,yes
j-12173-20,21,yes
j-12128-20,62C,yes
j-12260-20,21ID,yes
j-12421-20,37,yes
j-12518-20,94,yes
j-11287-20,20,yes
j-11630-20,100,yes
j-12654-20,20,yes
j-17209-20,55,yes
j-12909-20,103,yes
i-19436-20,34-S,yes
j-13029-20,94,yes
j-12977-20,21,yes
j-12860-20,100,yes
j-12953-20,20I,yes
i-19436-20,34S,yes
j-13031-20,100,yes
j-13140-20,103F,yes
j-13017-20,103F,yes
j-12997-20,100,yes
j-13332-20,21,yes
j-13508-20,20,yes
j-13514-20,20I,yes
j-13390-20,67,yes
j-08119-20,67A,yes
j-13598-20,20,yes
j-13546-20,65,yes
j-12209-20,37,yes
j-13515-20,37,yes
j-14022-20,30S,yes
j-14106-20,20I,yes
j-14217-20,37,yes
j-14804-20,30S,yes
j-03778-20,30S,yes
i-19915-20,27-64J,yes
j-14884-20,20,yes
i20007641,21,yes
j-14022-20,30S,yes
j-10997-20,966,yes
j-14875-20,100,yes
g-23400-20,21,yes
j-15166-20,20I,yes
j-06221-20,64 G,yes
j-15570-20,18,yes
j-15594-20,67-A,yes
j-09924-20,103,yes
j-16092-20,20,yes
i-22583-20,64G,yes
j-16119-20,20,yes
j-16100-20,94,yes
j-16121-20,107,yes
j-16253-20,63P,yes
j-14755-20,65,yes
j-14804-20,30S,yes
j-16387-20,20-I,yes
j-16540-20,21G,yes
j-05535-20,64G,yes
j-16142-20,62 B,yes
j-16674-20,34C,yes
j-16610-20,64 J,yes
j-16716-20,63,yes
j-16816-20,20,yes
j-16811-20,63,yes
j-16652-20,64 G,yes
j-16817-20,103,yes
j-16980-20,18,yes
j-16991-20,18,yes
j-17003-20,18,yes
j-17160-20,20,yes
j-17218-20,100,yes
j-17219-20,64G,yes
j-16650-20,67A,yes
j-17278-20,20,yes
j-17376-20,21,yes
j-17360-20,34S,yes
j-17489-20,94,yes
j-17433-20,20,yes
j-02096-20,56,yes
j-10595-20,35,yes
j-14945-20,67A,yes
j-14085-20,67A,yes
j-17757-20,20,yes
j-17757-20,20,yes
j-16174-20,95-G,yes
j-12126-20,21,yes
j-18065-20,35,yes
j-13546-20,65,yes
j-18137-20,103,yes
j-08474-20,34S,yes
j-17409-20,27/67A,yes
j-05535-20,64G,yes
g-23400-20,21,yes
g-23400-20,21,yes
j-19090-20,20,yes
j-19462-20,103,yes
j-19445-20,37,yes
j-18210-20,64K,yes
j-19352-20,65,yes
j-19507-20,37,yes
j-19510-20,65,yes
j-19592-20,64G,yes
j-19870-20,20-I,yes
j-19994-20,37D,yes
j-19965-20,107,yes
j-20407-20,20-I,yes
j-20407-20,20 I,yes
j-20645-20,65,yes
j-20640-20,21 G,yes
j-20787-20,64 G,yes
j-20826-20,65,yes
j-20996-20,103,yes
j-20771-20,21,yes
j-21011-20,34 S,yes
j-20948-20,65-J,yes
j-19304-20,34S,yes
j-21360-20,34S,yes
j-21011-20,34S,yes
j-21746-20,21G,yes
j-21790-20,20,yes
j-22078-20,21G,yes
j-21485-20,64-G,yes
j-22133-20,21G,yes
j-22265-20,103F,yes
j-22269-20,18,yes
j-22163-20,64-G,yes
j-22288-20,18,yes
j-21880-20,34-S,yes
j-22423-20,65,yes
j-22643-20,18,yes
j-22445-20,100,yes
j-22818-20,103,yes
j-22835-20,35,yes
"67a, j-22818-20",67A,yes
j-22948-20,20,yes
j-23035-20,21G,yes
j-22913-20,37,yes
j-23142-20,21G,yes
j-23196-20,18,yes
j-23138-20,94,yes
j-23259-20,18,yes
j-23283-20,103,yes
j-22423-20,65-P,yes
j-23292-20,21G,yes
j-23317-20,103,yes
j-23288-20,103-M,yes
j-23330-20,35,yes
j-23384-20,103,yes
j-23397-20,103,yes
j-23408-20,21,yes
j-23745-20,37,yes
j-23857-20,37,yes
j-21322-20,67A,yes
j-19304-20,34S,yes
j-24203-20,34S,yes
j-24295-20,20,yes
j-24297-20,103F,yes
j-24300-20,20-I,yes
j-24500-20,30-S,yes
j-24604-20,63,yes
j-24551-20,966,yes
j-24394-20,64-G,yes
j-24477-20,103D,yes
j-24840-20,21,yes
j-24880-20,100,yes
j-16670-20,64J,yes
j-25002-20,20I,yes
j-24221-20,62C,yes
j-24500-20,30S,yes
j-25346-20,21,yes
j-25346-20,21,yes
j-25346-20,21,yes
j-28170-20,100,yes
j-12126-20,21,yes
j-16670-20,64J,yes
i-25550-20,62,yes
j-17667-20,20I,yes
j-25409-20,100I,yes
j-25542-20,20,yes
j-25527-20,20I,yes
g-23400-20,21,yes
j-21880-20,34S,yes
j-25642-20,20,yes
g-23400-20,21,yes
j-25684-20,94,yes
j-25684-20,94,yes
j-25926-20,94,yes
j-18252-20,34-S,yes
j-24394-20,64-G,yes
j-19304-20,34-S,yes
j-26005-20,64-G,yes
j-2595020,102,yes
j-26188-20,21-P,yes
j-25795-20,34S,yes
g-37395-20,966,yes
j-26471-20,20,yes
j-26694-20,34S,yes
j-26694-20,34S,yes
j-26708-20,94,yes
j-00537-20,100,yes
h-11261-20,966,yes
g-23400-20,21,yes
j-26908-20,34S,yes
j-26914-20,34S,yes
g-23400-20,21,yes
j-27202-20,18,yes
j-27226-20,18,yes
j-27248-20,67A,yes
j-27269-20,18,yes
j-27311-20,103F,yes
j-27298-20,94,yes
j-27352-20,18,yes
j-27360-20,18,yes
j-27366-20,18,yes
j-27279-20,64-G,yes
j-27393-20,103,yes
j-27395-20,103,yes
j-27414-20,94,yes
j-26807-20,67,yes
j-27223-20,34-S,yes
j-27470-20,18,yes
j-27510-20,21,yes
j-20829-20,64 J,yes
j-27158-20;,64-J,yes
j-03749-20,65,yes
j-27592-20,100,yes
j-27599-20,18,yes
j-27655-20,18,yes
j-27710-20,18,yes
j-27688-20,37,yes
j-27682-20,64-G,yes
j-26694-20,34S,yes
j-27954-20,100,yes
j-27707-20,64G,yes
h-11261-20,966,yes
i-29815-20,56,yes
j-27903-20,100,yes
j-16174-20,95G,yes
i-00820-20,21,yes
j-27622-20,67A,yes
j-25341-20,67A,yes
j-25755-20,67A,yes
j-28269-20,67A,yes
i-29894-20,30S,yes
j-28565-20,60,yes
j-28673-20,18,yes
j-28803-20,37,yes
j-27687-20,64-G,yes
j-28986-20,64-G,yes
j-29350-20,20,yes
j-29367-20,34S,yes
j-29447-20,30S,yes
j-29496-20,100,yes
j-25401-20,62C,yes
j-29561-20,79,yes
j-29622-20,20,yes
j-25755-20,67A,yes
j-29413-20,37,yes
j-28747-20,64J,yes
j-21880-20,34S,yes
j-29757-20,20I,yes
j-20447-20,30S,yes
j-22033-20,67A,yes
j-30053-20,34S,yes
j-30159-20,21G,yes
j-30283-20,21G,yes
j-30097-20,65,yes
j-30553-20,62C,yes
j-30652-20,20,yes
j-30697-20,20,yes
j-30776-20,21,yes
j-30732-20,37,yes
j-30915-20,34S,yes
j-28695-20,67A,yes
j-31050-20,34S,yes
j-29447-20,30S,yes
j-31112-20,37,yes
j-31210-20,37,yes
j-31246-20,94,yes
j-31207-20,35D,yes
j-31595-20,94,yes
j-31030-20,64-J,yes
j-28986-20,64-G,yes
j-31506-20,103F,yes
j-31408-20,30S,yes
j-30097-20,65,yes
j-31744-20,107,yes
j-30501-20,62C,yes
j-31924-20,67D,yes
j-32075-20,20,yes
j-32114-20,35,yes
j-32189-20,20,yes
j-32173-20,20,yes
j-31677-20,62B,yes
j-29447-20,30S,yes
j-30892-20,30S,yes
j-32170-20,20I,yes
j-31408-20,30S,yes
"j-30915-20,",34-S,yes
j-32648-20,34-S,yes
j-32518-20,20,yes
j-33202-20,34S,yes
j-33202-20,34S,yes
j-31677-20,62B,yes
j-24500-20,30S,yes
j-30915-20,34S,yes
j-29447-20,30S,yes
j-33401-20,20,yes
j-33504-20,20,yes
j-30915-20,34S,yes
j-26914-20,34S,yes
j-33595-20,64J,yes
j-33819-20,103,yes
j-33838-20,18,yes
j-33863-20,18,yes
j-33825-20,18,yes
j-33947-20,103,yes
j-33980-20,37,yes
j-32382-20,64 J,yes
j-34156-20,18,yes
j-34523-20,64G,yes
j-34593-20,67,yes
j-34606-20,21,yes
j-30785-20,966,yes
j-27622-20,62C,yes
j-33595-20,64J,yes
j-34777-20,27/29S,yes
j-28695-20,67A,yes
j-31451-20,67A,yes
j-34880-20,100I,yes
j-30915-20,34S,yes
j-29447-20,30S,yes
j-35126-20,103,yes
j-35172-20,103,yes
j-34100-20,20,yes
j-35253-20,35,yes
j-35359-20,18,yes
j-35440-20,J-35440-20,yes
j-34230-20,37,yes
j-35235-20,21,yes
j-35296-20,55,yes
j-35747-20,20I,yes
j-35728-20,100,yes
j-35818-20,20,yes
j-35434-20,64J,yes
j-33595-20,64J,yes
j-36072-20,94,yes
j-36533-20,20,yes
j-36167-20,20,yes
j-36530-20,103F,yes
j-37729-20,20,yes
j-37638-20,100,yes
j-37666-20,100,yes
j-38400-20,103-F,yes
j-38198-20,20,yes
j-38379-20,20I,yes
j-35434-20,64J,yes
j-39108-20,20,yes
j-39356-20,34S,yes
j-39368-20,20I,yes
g-23400-20,21,yes
j-39410-20,108,yes
j-34230-20,37,yes
j-39949-20,18,yes
j-40010-20,103D,yes
j-39980-20,64-G,yes
g-23400-20,21,yes
j-40249-20,20I,yes
j-40639-20,20I,yes
j-39277-20,30S,yes
j-40634-20,37,yes
j-39410-20,PIB,yes
j-40856-20,21G,yes
j-40968-20,21,yes
j-40982-20,21G,yes
j-40962-20,34S,yes
j-40951-20,20,yes
j-41081-20,103 F,yes
j-41098-20,21,yes
k-00087-20,65 J,yes
j-410139-20,100-I,yes
k-00002-20,58R,yes
k-00123-20,67-S,yes
k-00151-20,103-F,yes
k-00087-20,65-J,yes
j-40977-20,34C,yes
k-00462-20,35D,yes
k-01003-20,21G,yes
k-01022-20,18,yes
k-00918-20,100-I,yes
k-00985-20,37,yes
k-01044-20,18,yes
k-01088-20,18,yes
k-01134-20,100,yes
j-35517-20,64,yes
j-27082-20,55,yes
k-01184-20,65-P,yes
k-01268-20,18,yes
k-01251-20,20,yes
k-01373-20,100I,yes
k-01025-20,103,yes
k-01610-20,20,yes
k-00869-20,62C,yes
k-01884-20,64G,yes
k-01856-20,100,yes
g-23400-20,21,yes
k-02009-20,20I,yes
k-02207-20,67A,yes
j-32648-20,34S,yes
k-02362-20,103,yes
k-02412-20,67,yes
k-02403-20,65,yes
k-02207-20,67A,yes
k-02419-20,64-J,yes
k-02621-20,21,yes
k-02606-20,34S,yes
k-02610-10,94,yes
k-02642-20,20X,yes
j-40796-20,64J,yes
k-02552-20,64G,yes
k-03032-20,20,yes
k-03213-20,103F,yes
k-03131-20,62B,yes
k-03169-20,37,yes
k-03370-20,100I,yes
k-03497-20,20,yes
j-39410-20,108,yes
k-03068-20,67-A,yes
k-03712-20,20,yes
k-03822-20,20,yes
k-03746-20,34S,yes
k-04084-20,56,yes
k-04163-20,100,yes
k-02552-20,64G,yes
k-03746-20,34S,yes
h-11261-20,966,yes
k-04649-20,20,yes
k-01084-20,30S,yes
j-31562-20,64J,yes
k-04533-20,62C,yes
k-02103-20,30S,yes
k-04970-20,103,yes
k-05014-20,107,yes
k-04789-20,21-R,yes
k-05158-20,18,yes
k-05214-20,18,yes
k-05296-20,21-G,yes
k-05285-20,18,yes
k-05311-20,18,yes
k-05345-20,18,yes
k-05346-20,107,yes
k-05359-20,K-05359-20,yes
k-05370-20,18,yes
k-05362-20,64-G,yes
k-05439-20,64G,yes
k-05682-20,100-I,yes
k-03816-20,65,yes
k-03571-20,34S,yes
g-37395-20,966,yes
k-05905-20,20I,yes
k-05845-20,103F,yes
k-05866-20,20,yes
k-05439-20,64G,yes
k-06150-20,21G,yes
k-06289-20,18,yes
k-05905-20,20-I,yes
k-06525-20,18,yes
k-06531-20,18,yes
k-05439-20,64-G,yes
k-06635-20,18,yes
k-06668-20,18,yes
k-06644-20,34-S,yes
k-06644-20,34S,yes
k-06890-20,20,yes
j-27082-20,55,yes
k-07040-20,95G,yes
k-07118-20,30-S,yes
k-03816-20,65,yes
k-03777-20,64-J,yes
k-07670-20,103-F,yes
k-06644-20,34S,yes
k-07645-20,65J,yes
k-07659-20,100I,yes
k-07943-20,20I,yes
k-08317-20,94,yes
k-08420-20,94,yes
k-08404-20,63P,yes
k-08495-20,37,yes
k-08382-20,34S,yes
k-08712-20,20-I,yes
k-08480-20,67-AR,yes
k-08837-20,64-J,yes
k-08449-20,64G,yes
k-08746-20,20X,yes
k-09570-20,35,yes
k-09738-20,34S,yes
j-29447-20,30S,yes
k-09896-20,67,yes
k-08449-20,64-G,yes
k-10200-20,67-A,yes
k-10138-20,64-G,yes
k-10278-20,67-A,yes
j-24880-20,100,yes
k-10758-20,35,yes
k-01533-20,24,yes
k-10887-20,67,yes
h-11261-20,966,yes
k-11046-20,20I,yes
k-11288-20,20,yes
k-11478-20,18,yes
k-11480-20,20,yes
k-11601-20,35,yes
k-11637-20,21G,yes
k-11695-20,65,yes
k-11799-20,63,yes
k-11971-20,103,yes
k-11978-20,20,yes
j-19945-20,64J,yes
k-12021-20,21,yes
k-12110-20,20,yes
j-35601-20,55,yes
k-12437-20,64J,yes
g-23400-20,21,yes
g-23400-20,21,yes
k-12437-20,64J,yes
k-12703-20,21G,yes
k-12222-20,67,yes
k-12796-20,18,yes
k-12851-20,20,yes
k-12848-20,18,yes
k-12858-20,100 I,yes
k-12876-20,103F,yes
k-11076-20,65,yes
j-27279-20,64-G,yes
k-12987-20,103F,yes
k-13049-20,18,yes
k-13118-20,18,yes
k-05586-20,65,yes
k-13180-20,28-Oct,yes
k-13122-20,18,yes
k-13496-20,20,yes
k-13632-20,103F,yes
k-12644-20,95G,yes
k-08270-20,67A,yes
j-12126-20,21,yes
j-25346-20,21,yes
j-25346-20,21,yes
k-13814-20,20I,yes
k-12008-20,62C,yes
k-03862-20,100,yes
k-14416-20,30-S,yes
k-06644-20,34-S,yes
k-11825-20,64G,yes
k-08270-20,67-A,yes
k-14925-20,20,yes
k-14857-20,20,yes
k-14668-20,64J,yes
k-14043-20,64J,yes
k-14983-20,20,yes
k-15000-20,37,yes
k-14668-20,64J,yes
k-15263-20,34S,yes
k-11596-20,34S,yes
k-15346-20,20,yes
k-15361-20,20,yes
k-15426-20,34S,yes
k-14764-20,37,yes
k-15554-20,20,yes
k-15622-20,20,yes
k-15640-20,65,yes
k-16025-20,65,yes
k-16398-20,37,yes
k-14764-20,37,yes
k-04502-20,62C,yes
k-06597-20,27-67,yes
k-16774-20,20,yes
k-17006-20,103,yes
k-17020-20,21,yes
k-17136-20,21 G,yes
k-17155-20,37,yes
k-17109-20,20,yes
k-17247-20,103-F,yes
k-17155-20,37,yes
k-17617-20,64J,yes
k-17827-20,20,yes
k-17870-20,20,yes
k-17833-20,21,yes
k-15096-20,55,yes
k-17983-20,103,yes
k-17989-20,103F,yes
k-18036-20,20,yes
k-14240-20,30S,yes
k-18721-20,21,yes
k-13973-20,67 A,yes
k-08270-20,67 A,yes
k-18115-20,37,yes
k-18394-20,34-S,yes
k-18513-20,18,yes
k-18512-20,34-S,yes
k-18563-20,100,yes
k-18573-20,21 G,yes
k-18498-20,21 G,yes
k-18653-20,21-G,yes
k-17529-20,64 J,yes
k-18564-20,64 J,yes
k-18738-20,35,yes
k-18751-20,100 F,yes
k-18393-20,103,yes
k-18970-20,20I,yes
k-18751-20,100F,yes
k-17968-20,67A,yes
k-16142-20,67A,yes
k-19079-20,34S,yes
k-19255-20,65J,yes
k-19069-20,62C,yes
k-19266-20,94,yes
k- 19449-20,34-S,yes
k-19565-20,18,yes
k-19651-20,21,yes
k-11307-20,64-J,yes
k-11825-20,64 G,yes
k-02552-20,64 G,yes
k-03777-20,65 J,yes
k-19785-20,64-J,yes
k-19848-20,21,yes
k-19576-20,103,yes
k-20207-20,21,yes
k-20182-20,100,yes
k-20446-20,103F,yes
