item_number,Signal Code,Upon Researching the above item :
E-28248-22,100I,No relevant video was found
E-28397-22,64K,Relevant video was found
E-24222-22,64G,Relevant video was found
E-28523-22,20I,Relevant video was found
E-23011-22,34 S,Relevant video was found
E-30138-22,20,Relevant video was found
E-30124-22,94,No relevant video was found
E-30416-22,65,Relevant video was found
E-30321-22,103,Relevant video was found
F-00186-22,24,Relevant video was found
E-32463-22,20,No relevant video was found
E-32473-22,103F,No relevant video was found
E-32829-22,94,No relevant video was found
E-32842-22,63,No relevant video was found
F-00246-22,21,Relevant video was found
F-00236-22,24,No relevant video was found
F-00293-22,18,Relevant video was found
F-00462-22,20,No relevant video was found
E-25255-22,67A,No relevant video was found
E-28499-22,20I,No relevant video was found
E-28623-22,20,No relevant video was found
E-20142-22,95G,Relevant video was found
E-28660-22,20,Relevant video was found
E-31572-22,64J,Relevant video was found
E-31795-22,20I,No relevant video was found
E-31786--22,34C,Relevant video was found
E-31886-22,20,Relevant video was found
E-31956-22,107,No relevant video was found
E-31846-22,94,No relevant video was found
E-32452-22,37,Relevant video was found
E-29974-22,94,No relevant video was found
E-30374-22,103,Relevant video was found
E-30457-22,98,Relevant video was found
E-32054-22,107,Relevant video was found
E-32102-22,100,No relevant video was found
E-32232-22,20I,No relevant video was found
E-28523-22,20I,Relevant video was found
E-18323-22,64J,Relevant video was found
E-29448-22,20,No relevant video was found
E-29816-22,20I,Relevant video was found
E-32524-22,62C,No relevant video was found
E-28489-22,67AR,Relevant video was found
E-28917-22,20I,Relevant video was found
E-28926-22,20,Relevant video was found
E-24324-22,30S,Relevant video was found
E-33690-22,37,Relevant video was found
E-03313-22,93,Relevant video was found
E-23645-22,30S,Relevant video was found
E-29275-22,20i,Relevant video was found
E-28781-22,20,No relevant video was found
E-23928-22,20i,Relevant video was found
E-31997-22,30S,Relevant video was found
E-32114-22,20,Relevant video was found
E-29275-22,20I,Relevant video was found
E-29621-22,106,No relevant video was found
E-29640-22,20,No relevant video was found
E-29741-22,20,No relevant video was found
E-29724-22,20I,No relevant video was found
E-29771-22,20,Relevant video was found
E-30498-22,24,Relevant video was found
E-30488-22,100,Relevant video was found
E-30517-22,21,No relevant video was found
E-30668-22,20,No relevant video was found
E-30653-22,20,Relevant video was found
E-30698-22,64J,Relevant video was found
E-30889-22,20,No relevant video was found
E-28106-22,65P,Relevant video was found
E-30743-22,34 S,Relevant video was found
E-31130-22,100I,No relevant video was found
E-31461-22,103F,Relevant video was found
E-31462-22,103D,No relevant video was found
E-32632-22,20,No relevant video was found
2205-3636,67A,No relevant video was found
E-22182-22,30S,Relevant video was found
E-29859-22,20I,No relevant video was found
E-33683-22,34S,No relevant video was found
E-33720-22,20,Relevant video was found
E-27428-22,21,Relevant video was found
E-30333-22,35,No relevant video was found
E-30400-22,62B,Relevant video was found
E-31511-22,20,Relevant video was found
E-31970-22,20,Relevant video was found
F-00643-22,20I,Relevant video was found
E-24885-22,62C,Relevant video was found
E-30707-22,37,No relevant video was found
E-30782-22,20,Relevant video was found
E-30888-22,20,Relevant video was found
E-30743-22,34S,Relevant video was found
E-30927-22,37,Relevant video was found
E-28202-22,65 P,Relevant video was found
E-38226-22,94,No relevant video was found
E-30489-22,20,No relevant video was found
E-31085-22,20,Relevant video was found
E-31304-22,100,Relevant video was found
E-31306-22,100,No relevant video was found
E-31454-22,64,No relevant video was found
E-24020-22,20I,No relevant video was found
E-33988-22,20,Relevant video was found
E-34078-22,20,Relevant video was found
E-34179-22,107,Relevant video was found
E-34252-22,81,Relevant video was found
E-12688-22,65,Relevant video was found
F-00070-22,62C,Relevant video was found
E-31077-22,94,Relevant video was found
E-31325-22,20I,Relevant video was found
E-31194-22,65 J,Relevant video was found
E-31298-22,62C,Relevant video was found
E-31250-22,34C,No relevant video was found
E-31687-22,20,No relevant video was found
E-31887-22,20-I,No relevant video was found
E-32661-22,20,No relevant video was found
E-32710-22,20,No relevant video was found
E-33464-22,20I,Relevant video was found
E-33782-22,20,Relevant video was found
E-33972-22,20,Relevant video was found
E-32910-22,20I,No relevant video was found
E-33168-22,37,Relevant video was found
E-31461-22,103F,Relevant video was found
E-33323-22,34C,No relevant video was found
E-33216-22,65,Relevant video was found
E-34070-22,103,No relevant video was found
E-34074-22,20,No relevant video was found
E-34126-22,62R,No relevant video was found
E-34102-22,56,Relevant video was found
E-32932-22,100I,Relevant video was found
E-32994-22,20I,Relevant video was found
E-33010-22,24,Relevant video was found
E-33052-22,20I,Relevant video was found
E-33168-22,37,Relevant video was found
E-33224-22,94,No relevant video was found
E-33491-22,37,Relevant video was found
F-00913-22,TS,Relevant video was found
F-00951-22,20,Relevant video was found
F-00854-22,100,No relevant video was found
E-33596-22,62C,Relevant video was found
E-33872-22,94,No relevant video was found
E-33931-22,20,Relevant video was found
E-25662-22,62R,Relevant video was found
E-33978-22,20,No relevant video was found
F-00577-22,100I,Relevant video was found
F-00584-22,67A,Relevant video was found
F-00206-22,20,No relevant video was found
F-00423-22,20,No relevant video was found
E-33894-22,62R,Relevant video was found
F-00735-22,20,No relevant video was found
F-00788-22,20,No relevant video was found
F-01174-22,67C,Relevant video was found
F-01244-22,34S,No relevant video was found
F-00893-22,20,Relevant video was found
F-00648-22,34 S,Relevant video was found
F-01198-22,30 S,Relevant video was found
F-01147-22,34 S,Relevant video was found
F-01200-22,103F,Relevant video was found
F-05270-22,99,Relevant video was found
F-02580-22,64G,Relevant video was found
F-01350-22,107,No relevant video was found
F-01413-22,62C,No relevant video was found
E-16644-22,30S,Relevant video was found
F-01800-22,21,Relevant video was found
F-01839-22,20,No relevant video was found
E-25348-22,67A,Relevant video was found
F-01678-22,37,No relevant video was found
F-03763-22,64G,No relevant video was found
F-04166-22,100,Relevant video was found
F-01458-22,20,Relevant video was found
E-27048-22,100,Relevant video was found
F-01486-22,62C,Relevant video was found
F-00062-22,62C,Relevant video was found
E-21787-22,21,Relevant video was found
F-01898-22,34C,Relevant video was found
F-01974-22,20I,No relevant video was found
F-02439-22,34S,Relevant video was found
F-01502-22,20,Relevant video was found
E-14163-22,67A,Relevant video was found
F-01842-22,103,No relevant video was found
F-01855-22,100,Relevant video was found
F-01875-22,100,No relevant video was found
F-01900-22,20,No relevant video was found
F-01678-22,37,No relevant video was found
F-02253-22,103,No relevant video was found
F-02292-22,35,Relevant video was found
F-03809-22,20,No relevant video was found
E-21787-22,21,Relevant video was found
F-02884-22,20I,No relevant video was found
F-02338-22,34S,Relevant video was found
F-03012-22,20,Relevant video was found
F-03027-22,20I,No relevant video was found
F-04795-22,20,No relevant video was found
F-04898-22,20,No relevant video was found
F-05008-22,20,No relevant video was found
F-03581-22,64J,Relevant video was found
E-24324-22,30 S,Relevant video was found
F-02028-22,100,Relevant video was found
E-32654-22,67 A,Relevant video was found
F-02649-22,100I,Relevant video was found
F-02906-22,20,Relevant video was found
F-02580-22,64G,No relevant video was found
F-03107-22,21,Relevant video was found
F-03401-22,34S,Relevant video was found
F-02178-22,34S,Relevant video was found
F-03631-22,35,No relevant video was found
F-03820-22,56,Relevant video was found
F-04037-22,20,Relevant video was found
F-04063-22,100,No relevant video was found
F-04305-22,21,Relevant video was found
F-04452-22,20I,Relevant video was found
F-02404-22,35 D,Relevant video was found
F-01898-22,34C,Relevant video was found
F-02385-22,34 S,No relevant video was found
E-12688-22,65 P,Relevant video was found
F-02046-22,94,No relevant video was found
F-02265-22,20I,Relevant video was found
F-02390-22,103F,Relevant video was found
F-02730-22,100,No relevant video was found
F-02738-22,20,Relevant video was found
F-02987-22,20I,No relevant video was found
F-02973-22,20X,Relevant video was found
F-02754-22,64G,Relevant video was found
F-02178-22,34S,Relevant video was found
F-03381-22,21,Relevant video was found
F-03380-22,21,Relevant video was found
F-03401-22,34S,Relevant video was found
F-03610-22,20,Relevant video was found
E-06504-22,30,Relevant video was found
F-04947-22,20,Relevant video was found
F-05012-22,21,Relevant video was found
F-05004-22,21,Relevant video was found
F-05113-22,20I,Relevant video was found
F-05200-22,99,Relevant video was found
F-03834-22,20,No relevant video was found
F-04025-22,966,Relevant video was found
F-04105-22,21,Relevant video was found
F-05310-22,99,Relevant video was found
F-02580-22,64G,Relevant video was found
F-05200-22,99,Relevant video was found
F-03763-22,64G,Relevant video was found
F-04222-22,20,Relevant video was found
F-04158-22,64J,Relevant video was found
F-04229-22,107,Relevant video was found
F-04238-22,103F,No relevant video was found
F-04410-22,34C,Relevant video was found
F-04464-22,100I,Relevant video was found
F-04546-22,103F,Relevant video was found
F-04707-22,52F,Relevant video was found
F-04737-22,55,No relevant video was found
F-04707-22,52F,Relevant video was found
E-30743-22,34S,Relevant video was found
F-05069-22,20,Relevant video was found
F-05087-22,100,Relevant video was found
F-06894-22,21,Relevant video was found
F-07849-22,20,Relevant video was found
F-08192-22,94,Relevant video was found
F-08366-22,20I,Relevant video was found
F-12276-22,100,No relevant video was found
F-12267-22,65J,Relevant video was found
F-12401-22,34S,Relevant video was found
F-12492-22,44,Relevant video was found
F-09511-22,67A,Relevant video was found
F-12660-22,21,Relevant video was found
F-05470-22,103,No relevant video was found
F-05434-22,34C,No relevant video was found
F-05492-22,103,No relevant video was found
F-05539-22,94,No relevant video was found
F-05587-22,20I,No relevant video was found
F-05800-22,24,Relevant video was found
F-05087-22,20,Relevant video was found
F-06015-22,20,No relevant video was found
F-06069-22,34S,No relevant video was found
F-06123-22,20,No relevant video was found
E-21787-22,21,Relevant video was found
E-16779-22,27-64G,Relevant video was found
F-05493-22,62C,Relevant video was found
F-05450-22,100,Relevant video was found
F-05536-22,56,Relevant video was found
F-05700-22,20,Relevant video was found
F-04687-22,62C,Relevant video was found
F-05876-22,20,Relevant video was found
F-06042-22,20,Relevant video was found
F-06069-22,34S,Relevant video was found
F-04309-22,67A,Relevant video was found
F-08916-22,21,Relevant video was found
F-05869-22,106,Relevant video was found
F-01174-22,62C,Relevant video was found
F-05004-22,966,Relevant video was found
F-03717-22,30S,Relevant video was found
F-06036-22,64G,Relevant video was found
F-06069-22,34S,Relevant video was found
F-06792-22,21,Relevant video was found
F-06805-22,18,Relevant video was found
F-06829-22,20,No relevant video was found
F-06825-22,22D,Relevant video was found
F-06830-22,20,Relevant video was found
F-07360-22,24,Relevant video was found
F-07403-22,20,No relevant video was found
F-07473-22,94,No relevant video was found
F-07467-22,56,Relevant video was found
F-07640-22,67,Relevant video was found
F-07779-22,64J,No relevant video was found
F-06069-22,34 S,Relevant video was found
F-06303-22,20,Relevant video was found
E-30698-22,64 J,Relevant video was found
F-06449-22,56,Relevant video was found
F-05973-22,67F,Relevant video was found
F-06669-22,20,Relevant video was found
F-07573-22,95G,Relevant video was found
E-24702-22,64K,Relevant video was found
F-07391-22,20,No relevant video was found
F-06235-22,20,Relevant video was found
F-06281-22,20,Relevant video was found
F-06931-22,56,No relevant video was found
F-08558-22,21,Relevant video was found
F-08557-22,58R,Relevant video was found
F-08757-22,107,Relevant video was found
F-11734-22,20,Relevant video was found
F-11753-22,95G,Relevant video was found
F-11755-22,20,Relevant video was found
F-12067-22,21,Relevant video was found
F-12025-22,35D,Relevant video was found
F-12110-22,64K,Relevant video was found
F-06613-22,56,No relevant video was found
F-06626-22,62B,Relevant video was found
RTCC 31399,21,Relevant video was found
F-08153-22,100,Relevant video was found
F-08186-22,20,No relevant video was found
F-06648-22,30S,Relevant video was found
F-05358-22,27-65,Relevant video was found
F-11188-22,20,No relevant video was found
F-11230-22,20,Relevant video was found
F-11248-22,103,No relevant video was found
F-12607-22,107,Relevant video was found
F-12783-22,20,No relevant video was found
F-06913-22,20,No relevant video was found
F-06950-22,20,No relevant video was found
F-06760-22,67,Relevant video was found
F-07103-22,20,Relevant video was found
F-07144-22,20I,Relevant video was found
F-07187-22,64,Relevant video was found
F-06941-22,20,No relevant video was found
F-06442-22,64,Relevant video was found
F-07517-22,18,Relevant video was found
F-07564-22,107,Relevant video was found
F-07125-22,20,Relevant video was found
F-07240-22,107,Relevant video was found
F-08262-22,20,No relevant video was found
F-09664-2,20,No relevant video was found
F-10731-22,20,No relevant video was found
F-10737-22,30S,No relevant video was found
F-11032-22,35,No relevant video was found
F-11109-22,64J,Relevant video was found
F-11131-22,20I,No relevant video was found
F-11178-22,34S,No relevant video was found
F-10721-22,65,Relevant video was found
F-11821-22,20,No relevant video was found
F-11969-22,20,No relevant video was found
F-12069-22,20,Relevant video was found
F-08931-22,100,Relevant video was found
F-08897-22,42,Relevant video was found
F-07779-22,64J,Relevant video was found
F-06065-22,62C,Relevant video was found
E-01944-22,21,Relevant video was found
F-08095-22,67A,Relevant video was found
F-09351-22,37,No relevant video was found
E-33138-22,20,Relevant video was found
F-07718-22,21,Relevant video was found
F-07379-22,35,No relevant video was found
F-10552,20,No relevant video was found
E-25280-22,34S,Relevant video was found
F-09370-22,21,Relevant video was found
F-09572-22,62C,No relevant video was found
F-09584-22,94,No relevant video was found
F-09591-22,34C,No relevant video was found
F-09608-22,62C,Relevant video was found
F-09715-22,100,Relevant video was found
F-10928-22,100,Relevant video was found
F-10979-22,67P,No relevant video was found
F-11129-22,35 D,No relevant video was found
F-07858-22,34,No relevant video was found
F-08617-22,64G,No relevant video was found
E-08432-22,94,No relevant video was found
E-08432-22,94,No relevant video was found
F-08404-22,30S,No relevant video was found
F-08766-22,64,No relevant video was found
F-08951-22,20I,Relevant video was found
F-08958-22,20I,Relevant video was found
F-06648-22,30S,Relevant video was found
F-08644-22,106,No relevant video was found
F-08661-22,30S,Relevant video was found
F-08955-22,20,No relevant video was found
F-09305-22,20,No relevant video was found
F-09343-22,20I,No relevant video was found
F-09323-22,20,Relevant video was found
F-09706-22,94,No relevant video was found
F-09731-22,100,No relevant video was found
F-09499-22,67A,No relevant video was found
F-09831-22,94,No relevant video was found
F-09907-22,30S,Relevant video was found
F-09935-22,65J,No relevant video was found
F-09491-22,20I,Relevant video was found
F-09728-22,56D,No relevant video was found
F-09836-22,103,Relevant video was found
F-11314-22,24,No relevant video was found
F-11178-22,34S,Relevant video was found
F-09935-22,64J,Relevant video was found
F-09581-22,34C,Relevant video was found
F-10245-22,20,Relevant video was found
F-10166-22,30S,Relevant video was found
F-10465-22,18,Relevant video was found
F-10469-22,20,No relevant video was found
F-10467-22,20,Relevant video was found
F-10082-22,20X,No relevant video was found
F-10753-22,18,Relevant video was found
F-10775-22,103,No relevant video was found
F-06442-22,64,Relevant video was found
F-11055-22,107,Relevant video was found
F-11021-22,18,Relevant video was found
F-11807-22,20,Relevant video was found
F-11917-22,100,Relevant video was found
F-11794-22,21,Relevant video was found
F-11964-22,64G,Relevant video was found
F-12066-22,100,Relevant video was found
F-12090-22,34 S,Relevant video was found
F-11840-22,67P,No relevant video was found
F-11606-22,58 AR,Relevant video was found
F-12090-22,34S,Relevant video was found
F-12381-22,100,No relevant video was found
F-12370-22,21,No relevant video was found
F-11304-22,94,No relevant video was found
F-00539-22,62C,No relevant video was found
F-12696-22,100,Relevant video was found
F-12869-22,20I,No relevant video was found
F-09591-22,34C,Relevant video was found
F-12960-22,94,No relevant video was found
F-12383-22,21,Relevant video was found
F-12361-22,64J,No relevant video was found
F-12683-22,20,No relevant video was found
F-12902-22,94,Relevant video was found
F-12989-22,100 I,Relevant video was found
E-21787-22,21,Relevant video was found
F-13069-22,107,No relevant video was found
F-12066-22,100I,Relevant video was found
F-12907-22,64G,Relevant video was found
F-13351-22,27/45,Relevant video was found
E-32452-22,37,Relevant video was found
F-14979-22,94,Relevant video was found
F-14909-22,20I,Relevant video was found
F-14932-22,966,Relevant video was found
F-14821-22,100i,Relevant video was found
F-14931-22,30S,Relevant video was found
F-15173-22,64J,No relevant video was found
F-13139-22,34,Relevant video was found
F-13488-22,94,Relevant video was found
F-13725-22,100I,Relevant video was found
F-13981-22,34S,No relevant video was found
F-14031-22,34S,Relevant video was found
F-14241-22,64J,Relevant video was found
F-14347-22,20,No relevant video was found
F-14351-22,20,No relevant video was found
F-14477-22,20,No relevant video was found
F-00341-22,67A,Relevant video was found
F-13725-22,100I,Relevant video was found
F-11178-22,34S,Relevant video was found
F-13139-22,34,Relevant video was found
F-14053-22,20I,Relevant video was found
F-14122-22,64G,No relevant video was found
F-14185-22,67A,Relevant video was found
F-14203-22,67,Relevant video was found
F-13318-22,20I,Relevant video was found
F-13521-22,20,No relevant video was found
F-05004-22,966,Relevant video was found
F-14122-22,64G,Relevant video was found
F-13847-22,21,Relevant video was found
F-14241-22,64G,No relevant video was found
F-15434-22,20,No relevant video was found
F-15412-22,20,No relevant video was found
F-15411-22,100,No relevant video was found
F-05224-22,100,Relevant video was found
F-14315-22,65,No relevant video was found
F-14315-22,65P,Relevant video was found
F-14740-22,103D,Relevant video was found
F-14127-22,94,No relevant video was found
F-14243-22,37,Relevant video was found
F-07834-22,62C,Relevant video was found
F-14676-22,20I,Relevant video was found
F-11753-22,95G,Relevant video was found
F-15919-22,20,No relevant video was found
F-15959-22,56D,No relevant video was found
F-15962-22,20,No relevant video was found
F-16049-22,64G,No relevant video was found
F-16066-22,20,No relevant video was found
F-12920-22,94,Relevant video was found
F-09907-22,30S,Relevant video was found
F-14821-22,100,Relevant video was found
F-14909-22,20I,No relevant video was found
F-15099-22,107,No relevant video was found
F-15133-22,34S,No relevant video was found
F-15141-22,107,Relevant video was found
F-15215-22,35,No relevant video was found
F-15150-22,100,Relevant video was found
F-15376-22,20C,Relevant video was found
F-15605-22,20,No relevant video was found
D-31459-22,21,Relevant video was found
F-14576-22,30S,No relevant video was found
F-09907-22,30S,No relevant video was found
F-15762-22,34S,Relevant video was found
F-00341-22,67A,Relevant video was found
F-11109-22,64J,Relevant video was found
F-10928-22,100,Relevant video was found
F-15585-22,67A,Relevant video was found
F-15794-22,34S,No relevant video was found
F-08404-22,30S,Relevant video was found
F-14333-22,21,Relevant video was found
F-15710-22,20,No relevant video was found
F-15758-22,20,Relevant video was found
F-15757-22,107,Relevant video was found
F-16138-22,20 X,Relevant video was found
F-15992-22,20 I,Relevant video was found
F-16124-22,65,No relevant video was found
F-16119-22,94,No relevant video was found
F-16258-22,64 J,No relevant video was found
F-16092-22,34 S,Relevant video was found
F-16199-22,35,No relevant video was found
F-16092-22,34S,Relevant video was found
F-16460-22,100I,Relevant video was found
F-16583-22,20,Relevant video was found
F-16699-22,18,Relevant video was found
F-21238-22,94,No relevant video was found
F-19602-22,65J,Relevant video was found
F-05973-22,67F,Relevant video was found
F-19134-22,94F,Relevant video was found
F-18951-22,95G,Relevant video was found
F-19248-22,20,Relevant video was found
F-19880-22,20X,Relevant video was found
F-19981-22,1028,Relevant video was found
F-19969-22,34S,Relevant video was found
F-20025-22,20I,Relevant video was found
F-20040-22,20,Relevant video was found
F-20732-22,100I,Relevant video was found
F-16619-22,67A,Relevant video was found
F-16274-22,62B,Relevant video was found
F-15492-22,67A,Relevant video was found
F-16582-22,24,Relevant video was found
F-16744-22,20,No relevant video was found
F-18951-22,95G,No relevant video was found
F-19159-22,966,Relevant video was found
F-19230-22,20i,Relevant video was found
F-19031-22,67A,Relevant video was found
F-19855-22,34S,Relevant video was found
F-19954-22,94,No relevant video was found
F-20025-22,20I,Relevant video was found
F-20090-22,52F,No relevant video was found
F-20243-22,67A,Relevant video was found
F-20424-22,20-I,Relevant video was found
F-16347-22,21,No relevant video was found
F-16406-22,20,No relevant video was found
F-16404-22,20,No relevant video was found
F-16467-22,20,No relevant video was found
F-16504-22,20-I,Relevant video was found
F-16593-22,20-I,Relevant video was found
F-18537-22,64G,No relevant video was found
F-18771-22,20I,Relevant video was found
F-18819-22,34C,No relevant video was found
F-18863-22,34S,Relevant video was found
F-18021-22,20I,Relevant video was found
F-17990-22,20,Relevant video was found
F-18103-22,20,Relevant video was found
F-18114-22,99,Relevant video was found
F-18290-22,20I,Relevant video was found
F-18078-22,34S,Relevant video was found
F-16876-22,20,No relevant video was found
F-16907-22,63,No relevant video was found
F-16935-22,100,No relevant video was found
F-16832-22,100,No relevant video was found
F-16710-22,21,Relevant video was found
F-15000-22,64G,Relevant video was found
F-19642-22,20,No relevant video was found
F-21536-22,103,Relevant video was found
E-33695-22,106,Relevant video was found
F-13935-22,"10-28P,",Relevant video was found
F-21801-22,37,No relevant video was found
F-16777-22,966,Relevant video was found
F-16912-22,107,Relevant video was found
F-15402-22,67 A,Relevant video was found
F-17010-22,18,Relevant video was found
F-17020-22,37,Relevant video was found
F-19698-22,95 G,Relevant video was found
F-17054-22,55,Relevant video was found
F-17162-22,20,No relevant video was found
F-17281-22,103,Relevant video was found
F-17044-22,100,No relevant video was found
F-17425-22,20,Relevant video was found
F-20607-22,20,Relevant video was found
F-17401-22,100,No relevant video was found
F-22058-22,21,Relevant video was found
F-22073-22,55,No relevant video was found
F-22036-22,79,Relevant video was found
F-22244-22,67F,Relevant video was found
F-22267-22,100,Relevant video was found
F-17672-22,94,No relevant video was found
F-17470-22,64G,Relevant video was found
F-16619-22,67A,No relevant video was found
F-17356-22,20,No relevant video was found
F-17579-22,20I,Relevant video was found
F-17694-22,20,Relevant video was found
F-17451-22,18,Relevant video was found
F-17832-22,107,Relevant video was found
F-17890-22,20I,No relevant video was found
F-20186-22,100I,No relevant video was found
F-20234-22,62B,No relevant video was found
F-20948-22,107,Relevant video was found
F-20988-22,107,Relevant video was found
F-18275-22,20,No relevant video was found
F-18348-22,103F,Relevant video was found
F-18383-22,64J,No relevant video was found
F-19558-22,20,Relevant video was found
F-19735-22,20,No relevant video was found
F-19763-22,20I,Relevant video was found
F-19855-22,34S,Relevant video was found
F-21380-22,20,No relevant video was found
F-21446-22,107,Relevant video was found
F-21779-22,20-I,No relevant video was found
F-17950-22,18,No relevant video was found
F-17988-22,20,No relevant video was found
F-18316-22,107,Relevant video was found
F-17663-22,20,Relevant video was found
F-17969-22,107,Relevant video was found
F-18078-22,34S,No relevant video was found
F-18134-22,34C,No relevant video was found
F-18083-22,35,No relevant video was found
F-18172-22,94,No relevant video was found
F-18138-22,20,Relevant video was found
F-23180-22,107,Relevant video was found
F-23238-22,45,Relevant video was found
F-22314-22,34S,Relevant video was found
F-19465-22,20I,No relevant video was found
F-19581-22,56,No relevant video was found
F-19753-22,20,Relevant video was found
F-19734-22,18,Relevant video was found
F-19969-22,34S,Relevant video was found
F-20046-22,20,No relevant video was found
F-19954-22,94,No relevant video was found
F-20179-22,30S,No relevant video was found
F-20759-22,24,No relevant video was found
F-20808-22,20,No relevant video was found
F-18683-22,20,No relevant video was found
F-12527-22,60,Relevant video was found
F-18767-22,20,No relevant video was found
F-18785-22,20,No relevant video was found
F-18886-22,21,Relevant video was found
F-20605-22,107,No relevant video was found
F-20837-22,107,No relevant video was found
F-20874-22,37,No relevant video was found
F-20693-22,103,No relevant video was found
F-20712-22,20,Relevant video was found
F-20767-22,65,Relevant video was found
F-20848-22,63,No relevant video was found
F-22921-22,100,No relevant video was found
F-23067-22,30S,Relevant video was found
F-23031-22,34S,Relevant video was found
F-23010-22,20i,Relevant video was found
F-10937-22,60,Relevant video was found
F-20804-22,107,Relevant video was found
F-12090-22,34S,Relevant video was found
F-11109-22,64J,Relevant video was found
F-21678-22,20,No relevant video was found
F-16542-22,67A,Relevant video was found
F-22012-22,100,No relevant video was found
F-21791-22,20,Relevant video was found
F-22119-22,35,No relevant video was found
F-21480-22,20,Relevant video was found
F-21480-22,20,Relevant video was found
F-21474-22,107,Relevant video was found
F-21932-22,20I,Relevant video was found
F-10937-22,60,Relevant video was found
F-22314-22,34S,No relevant video was found
F-24143-22,21,Relevant video was found
F-22382-22,35,No relevant video was found
F-22456-22,20I,No relevant video was found
F-22314-22,34S,Relevant video was found
F-22823-22,100,No relevant video was found
F-23271-22,20I,Relevant video was found
F-23263-22,100,Relevant video was found
F-23180-22,107,Relevant video was found
F-12907-22,64G,Relevant video was found
F-21610-22,64G,Relevant video was found
F-18356-22,34,Relevant video was found
F-22894-22,56,Relevant video was found
F-22850-22,20,Relevant video was found
F-22979-22,30S,Relevant video was found
F-23612-22,20I,Relevant video was found
F-22979-22,30S,Relevant video was found
F-23917-22,64G,Relevant video was found
F-23623-22,20,No relevant video was found
F-23698-22,20,Relevant video was found
F-23700-22,20,No relevant video was found
F-23744-22,67B,No relevant video was found
F-23648-22,62C,No relevant video was found
F23839-22,20,No relevant video was found
F-23810-22,20I,Relevant video was found
F-23801-22,67A,Relevant video was found
F-23886-22,20,Relevant video was found
F-23803-22,30S,Relevant video was found
E-34938-21,21,Relevant video was found
F-18324-22,100,Relevant video was found
F-23954-22,966,Relevant video was found
F-23803-22,30S,Relevant video was found
F-24120-22,966,Relevant video was found
F-24219-22,20I,Relevant video was found
F-24332-22,94,No relevant video was found
F-23801-22,67,No relevant video was found
F-24143-22,21,Relevant video was found
F-24466-22,21,Relevant video was found
F-26001-22,62C,Relevant video was found
F-25995-22,966,Relevant video was found
F-26037-22,966,Relevant video was found
F-26206-22,20,No relevant video was found
F-26324-22,20I,Relevant video was found
F-26402-22,100,Relevant video was found
F-24561-22,62C,Relevant video was found
F-24755-22,62C,Relevant video was found
F-24725-22,37,Relevant video was found
F-24795-22,65,Relevant video was found
F-24649-22,100,No relevant video was found
F-24712-22,99,No relevant video was found
F-24787-22,20,No relevant video was found
F-25025-22,21,No relevant video was found
F-25078-22,63P,No relevant video was found
F-24576-22,64J,Relevant video was found
F-24601-22,20,Relevant video was found
F-24729-22,20I,No relevant video was found
F-24944-22,21,Relevant video was found
F-25855-22,20,No relevant video was found
F-25912-22,62C,Relevant video was found
F-26076-22,20I,Relevant video was found
F-27167-22,35,No relevant video was found
F-27367-22,20,No relevant video was found
F-27437-22,20I,No relevant video was found
F-27454-22,24,Relevant video was found
F-27481-22,24,No relevant video was found
F-27166-22,63,Relevant video was found
F-27087-22,20,Relevant video was found
F-27507-22,94,No relevant video was found
F-27531-22,107,No relevant video was found
F-27672-22,20,Relevant video was found
F-27807-22,20,Relevant video was found
F-27981-22,103,Relevant video was found
F-28093-22,34S,Relevant video was found
F-25120-22,67 A,Relevant video was found
F-26290-22,20,No relevant video was found
F-26597-22,20 I,Relevant video was found
F-26403-22,20,Relevant video was found
F-26572-22,100I,No relevant video was found
F-23618-22,94,Relevant video was found
F-26958-22,20I,No relevant video was found
F-25053-22,21,Relevant video was found
F-21579-22,27/64G,Relevant video was found
F-25512-22,34S,Relevant video was found
F-25260-22,20,No relevant video was found
F-25284-22,94,No relevant video was found
F-25333-22,20,No relevant video was found
F-25603-22,34S,Relevant video was found
F-24795-22,65,Relevant video was found
F-26756-22,35,No relevant video was found
F-26886-22,20,No relevant video was found
F-27099-22,100-I,No relevant video was found
F-27137-22,21,Relevant video was found
F-24795-22,65,Relevant video was found
F-25280-22,35,Relevant video was found
F-25325-22,100,No relevant video was found
F-25415-22,20,No relevant video was found
F-25291-22,94,Relevant video was found
F-25589-22,34 S,Relevant video was found
F-25680-22,20,Relevant video was found
F-25933-22,67F,No relevant video was found
F-25873-22,103,No relevant video was found
F-20266-22,62C,Relevant video was found
F-23703-22,62C,Relevant video was found
F-27873-22,20,No relevant video was found
F-28081-22,20X,Relevant video was found
F-28010-22,67A,Relevant video was found
F-25871-22,103,No relevant video was found
F-26021-22,100,No relevant video was found
F-26136-22,103,Relevant video was found
F-26147-22,100,No relevant video was found
f-26228-22,107,No relevant video was found
F-26669-22,103F,Relevant video was found
F-26835-22,66,No relevant video was found
F-26690-22,62B,Relevant video was found
F-27242-22,20 I,No relevant video was found
F-23917-22,64,No relevant video was found
F-27225-22,95G,Relevant video was found
F-26219-22,20,No relevant video was found
F-26209-22,56,No relevant video was found
F-26450-22,34S,No relevant video was found
F-26513-22,20,Relevant video was found
F-26598-22,103F,Relevant video was found
F-23031-22,34S,Relevant video was found
F-28252-22,107,No relevant video was found
F-28334-22,67A,Relevant video was found
F-27053-22,34S,Relevant video was found
