item_number,Signal Code,Upon Researching the above item :,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
F0500422,21,Relevant video was found,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3665932,535943,6/5/2022 13:55,,6/5/2022 13:55,6/5/2022 17:45,RTF,REPORT TO FOLLOW,Y,2S02,035XX Monroe St,70118,2,POINT (-90.11707735 29.96812259)
F0500422,966,Relevant video was found,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3665932,535943,6/5/2022 13:55,,6/5/2022 13:55,6/5/2022 17:45,RTF,REPORT TO FOLLOW,Y,2S02,035XX Monroe St,70118,2,POINT (-90.11707735 29.96812259)
F0500422,966,Relevant video was found,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3665932,535943,6/5/2022 13:55,,6/5/2022 13:55,6/5/2022 17:45,RTF,REPORT TO FOLLOW,Y,2S02,035XX Monroe St,70118,2,POINT (-90.11707735 29.96812259)
F0511322,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2D,3680272,541480,6/5/2022 16:00,,,6/5/2022 16:44,VOI,VOID,N,1C02,Law St & Saint Bernard Ave,70119,1,POINT (-90.07160135 29.98291993)
F0520022,99,Relevant video was found,56,SIMPLE CRIMINAL DAMAGE,1F,107,SUSPICIOUS PERSON,2C,3686490,536426,6/5/2022 17:40,6/5/2022 17:42,6/5/2022 17:49,6/5/2022 18:40,RTF,REPORT TO FOLLOW,N,5B01,Saint Claude Ave & Saint Roch Ave,70117,5,POINT (-90.05214006 29.9688342)
F0520022,99,Relevant video was found,56,SIMPLE CRIMINAL DAMAGE,1F,107,SUSPICIOUS PERSON,2C,3686490,536426,6/5/2022 17:40,6/5/2022 17:42,6/5/2022 17:49,6/5/2022 18:40,RTF,REPORT TO FOLLOW,N,5B01,Saint Claude Ave & Saint Roch Ave,70117,5,POINT (-90.05214006 29.9688342)
F0383422,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3679874,526521,6/4/2022 9:34,6/4/2022 11:21,6/4/2022 11:31,6/4/2022 11:43,GOA,GONE ON ARRIVAL,N,6.00E+04,Saint Charles Ave & Calliope St,70130,6,POINT (-90.0733761 29.9418002)
F0402522,966,Relevant video was found,966,DRUG VIOLATIONS,1I,966,DRUG VIOLATIONS,1I,3680741,530680,6/4/2022 13:28,,6/4/2022 13:28,6/4/2022 15:31,RTF,REPORT TO FOLLOW,Y,8I01,001XX Blk Carondelet St,70112,8,POINT (-90.07049371 29.9532093)
F0410522,21,Relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3680741,530680,6/4/2022 15:33,,6/4/2022 15:33,6/4/2022 18:42,NAT,Necessary Action Taken,Y,8I01,001XX Blk Carondelet St,70112,8,POINT (-90.07049371 29.9532093)
F0531022,99,Relevant video was found,21,COMPLAINT OTHER,1J,99,RECKLESS DRIVING,1F,3691622,548611,6/5/2022 20:08,,6/5/2022 20:16,6/5/2022 21:11,NAT,Necessary Action Taken,N,5Q04,Almonaster Ave & Louisa St,70126,5,POINT (-90.03549661 30.00218012)
F0422222,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3678851,555326,6/4/2022 18:08,6/4/2022 18:28,6/4/2022 19:06,6/4/2022 20:17,RTF,REPORT TO FOLLOW,N,3N02,Paris Ave & Allen Toussaint Blvd,70122,3,POINT (-90.0756071 30.02103533)
F0415822,64J,Relevant video was found,64J,CARJACKING,2C,64J,CARJACKING,2C,3691049,526456,6/4/2022 16:43,6/4/2022 16:44,6/4/2022 16:49,6/4/2022 18:40,RTF,REPORT TO FOLLOW,N,4B05,013XX Blk Sumner St,70114,4,POINT (-90.03809799 29.94127868)
F0422922,107,Relevant video was found,95G,ILLEGAL CARRYING OF WEAPON- GUN,2D,107,SUSPICIOUS PERSON,2C,3673438,527333,6/4/2022 18:13,6/4/2022 18:14,6/4/2022 18:22,6/4/2022 22:49,RTF,REPORT TO FOLLOW,N,6K01,026XX S Derbigny St,70125,6,POINT (-90.09366919 29.94422693)
F0423822,103F,No relevant video was found,35,SIMPLE BATTERY,1F,103F,FIGHT,2D,3684114,537917,6/4/2022 18:23,6/4/2022 18:35,6/4/2022 18:46,6/4/2022 21:11,RTF,REPORT TO FOLLOW,N,5A04,020XX N Claiborne Ave,70116,5,POINT (-90.05958894 29.9730068)
F0441022,34C,Relevant video was found,34C,AGGRAVATED BATTERY BY CUTTING,2D,34C,AGGRAVATED BATTERY BY CUTTING,2D,3696756,551438,6/4/2022 21:41,,6/4/2022 21:49,6/5/2022 1:49,RTF,REPORT TO FOLLOW,N,7C01,060XX Chef Menteur Hwy,70126,7,POINT (-90.01917607 30.00979195)
F0446422,100I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,100I,HIT & RUN WITH INJURIES,2D,3681211,530709,6/4/2022 22:45,,6/4/2022 23:35,6/5/2022 1:23,RTF,REPORT TO FOLLOW,N,8C01,Canal St & Royal St,70130,8,POINT (-90.06900885 29.9532761)
F0454622,103F,Relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3696258,520474,6/5/2022 0:59,6/5/2022 1:32,6/5/2022 1:34,6/5/2022 1:47,NAT,Necessary Action Taken,N,4C02,035XX General De Gaulle Dr,70114,4,POINT (-90.02186699 29.92466781)
F0470722,52F,Relevant video was found,52D,SIMPLE ARSON DOMESTIC,1A,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3706347,513588,6/5/2022 5:58,6/5/2022 8:03,6/5/2022 8:17,6/5/2022 17:02,RTF,REPORT TO FOLLOW,N,4.00E+01,059XX Tullis Dr,70131,4,POINT (-89.99027609 29.90541183)
F0470722,52F,Relevant video was found,52D,SIMPLE ARSON DOMESTIC,1A,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3706347,513588,6/5/2022 5:58,6/5/2022 8:03,6/5/2022 8:17,6/5/2022 17:02,RTF,REPORT TO FOLLOW,N,4.00E+01,059XX Tullis Dr,70131,4,POINT (-89.99027609 29.90541183)
F0473722,55,No relevant video was found,55,AGGRAVATED CRIMINAL DAMAGE,1D,94,DISCHARGING FIREARM,2D,3661438,531225,6/5/2022 7:25,6/5/2022 7:33,6/5/2022 7:36,6/5/2022 12:42,RTF,REPORT TO FOLLOW,N,2K02,087XX Blk Green St,70118,2,POINT (-90.13142699 29.95528014)
F0506922,20,Relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3691437,527802,6/5/2022 15:21,6/5/2022 15:50,6/5/2022 15:50,6/5/2022 15:53,NAT,Necessary Action Taken,N,4B05,Behrman Ave & Newton St,70114,4,POINT (-90.0368243 29.94496815)
F0508722,100,Relevant video was found,100,HIT & RUN,1A,100,HIT & RUN,1G,3711740,562541,6/5/2022 15:38,6/6/2022 10:45,6/6/2022 10:50,6/6/2022 11:14,RTF,REPORT TO FOLLOW,N,7I07,Read Blvd Exit & I-10 W,70128,7,POINT (-89.97141984 30.03983989)
F0508722,20,Relevant video was found,100,HIT & RUN,1A,100,HIT & RUN,1G,3711740,562541,6/5/2022 15:38,6/6/2022 10:45,6/6/2022 10:50,6/6/2022 11:14,RTF,REPORT TO FOLLOW,N,7I07,Read Blvd Exit & I-10 W,70128,7,POINT (-89.97141984 30.03983989)
F0689422,21,Relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3668710,533007,6/7/2022 10:18,,6/7/2022 10:18,6/7/2022 10:53,NAT,Necessary Action Taken,Y,2U04,034XX Broadway St,70125,2,POINT (-90.10840522 29.95996774)
F0784922,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3670419,541767,6/8/2022 7:09,,,6/8/2022 8:30,VOI,VOID,N,3H02,Orleans Ave & City Park Ave,70119,3,POINT (-90.10271175 29.98400424)
F0819222,94,Relevant video was found,94,DISCHARGING FIREARM,1A,94,DISCHARGING FIREARM,2D,3719900,573493,6/8/2022 13:40,6/8/2022 19:44,6/8/2022 19:45,6/8/2022 19:47,GOA,GONE ON ARRIVAL,N,7K04,Buffalo Rd & Curran Blvd,70128,7,POINT (-89.94521255 30.0696848)
F0836622,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3680391,528028,6/8/2022 16:46,6/8/2022 16:47,6/8/2022 16:52,6/8/2022 18:46,RTF,REPORT TO FOLLOW,N,8G03,Saint Charles Ave & Julia St,70130,8,POINT (-90.07169088 29.94593003)
F1227622,100,No relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3669820,532734,6/12/2022 9:30,6/12/2022 9:39,6/12/2022 9:45,6/12/2022 10:51,RTF,REPORT TO FOLLOW,N,2V03,Washington Ave & S Clark St,70125,2,POINT (-90.10491012 29.95918516)
F1226722,65J,Relevant video was found,67AR,SIMULTANEOS STOLEN/RECOVERY VEHICLE,1D,67A,AUTO THEFT,1D,3674791,541475,6/12/2022 9:11,6/12/2022 9:37,6/12/2022 10:01,6/12/2022 17:31,RTF,REPORT TO FOLLOW,N,1N02,034XX Esplanade Ave,70119,1,POINT (-90.08891257 29.98307101)
F1240122,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3719253,572892,6/12/2022 11:58,6/12/2022 11:59,6/12/2022 12:07,6/12/2022 17:11,RTF,REPORT TO FOLLOW,N,7K04,Avon Park Blvd & Curran Blvd,70128,7,POINT (-89.94727885 30.06805326)
F1249222,44,Relevant video was found,37D,AGGRAVATED ASSAULT DOMESTIC,2C,103,DISTURBANCE (OTHER),1C,3685192,540067,6/12/2022 13:55,6/12/2022 14:10,6/12/2022 14:15,6/12/2022 16:23,RTF,REPORT TO FOLLOW,N,5L01,022XX N Galvez St,70117,5,POINT (-90.05610849 29.97888663)
F0951122,67A,Relevant video was found,67A,AUTO THEFT,0A,67A,AUTO THEFT,1D,3682232,537717,6/9/2022 18:25,6/9/2022 19:32,6/9/2022 19:52,6/9/2022 20:56,RTF,REPORT TO FOLLOW,N,1A01,Saint Bernard Ave & N Claiborne Ave,70116,1,POINT (-90.06554068 29.97251469)
F1266022,21,Relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3679890,534643,6/12/2022 17:08,,6/12/2022 17:08,6/12/2022 17:08,NAT,Necessary Action Taken,Y,1.00E+03,N Claiborne Ave & Orleans Ave,70116,1,POINT (-90.07304389 29.96413298)
F0547022,103,No relevant video was found,103,DISTURBANCE (OTHER),1C,103,DISTURBANCE (OTHER),1C,3672215,525968,6/5/2022 23:44,,,6/6/2022 0:31,VOI,VOID,N,2O01,029XX Louisiana Ave,70115,2,POINT (-90.09757744 29.94050965)
F0543422,34C,No relevant video was found,34C,AGGRAVATED BATTERY BY CUTTING,2D,34C,AGGRAVATED BATTERY BY CUTTING,2D,3664670,536453,6/5/2022 22:32,6/5/2022 22:33,6/5/2022 22:35,6/6/2022 1:00,RTF,REPORT TO FOLLOW,N,2S01,090XX Olive St,70118,2,POINT (-90.12104875 29.96956193)
F0549222,103,No relevant video was found,103,DISTURBANCE (OTHER),1A,103,DISTURBANCE (OTHER),1C,3669575,536251,6/6/2022 0:18,6/6/2022 1:25,6/6/2022 1:32,6/6/2022 1:40,GOA,GONE ON ARRIVAL,N,1L04,040XX Tulane Ave,70119,1,POINT (-90.10556255 29.96886212)
F0553922,94,No relevant video was found,55,AGGRAVATED CRIMINAL DAMAGE,1D,94,DISCHARGING FIREARM,2D,3709478,554311,6/6/2022 2:06,6/6/2022 2:13,6/6/2022 2:18,6/6/2022 5:49,RTF,REPORT TO FOLLOW,N,7H02,044XX Blk Bundy Rd,70127,7,POINT (-89.97887566 30.01728582)
F0558722,20I,No relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3679972,541347,6/6/2022 3:43,6/6/2022 3:45,6/6/2022 3:55,6/6/2022 6:22,RTF,REPORT TO FOLLOW,N,1C02,N Broad St & O'Reilly St,70119,1,POINT (-90.07255238 29.98256554)
F0580022,24,Relevant video was found,24,MEDICAL,2D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,37369000,3513814,6/6/2022 9:14,,6/6/2022 9:53,6/6/2022 10:21,NAT,Necessary Action Taken,N,6J01,027XX Blk Saint Andrew St,70113,6,POINT (0 0)
F0601522,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3683680,552222,6/6/2022 13:29,6/6/2022 14:37,6/6/2022 14:37,6/6/2022 15:12,RTF,REPORT TO FOLLOW,N,3Q02,Filmore Ave & Elysian Fields Ave,70122,3,POINT (-90.06045849 30.01235336)
F0606922,34S,No relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3685559,538594,6/6/2022 14:29,6/6/2022 14:30,6/6/2022 14:33,6/6/2022 18:48,RTF,REPORT TO FOLLOW,N,5G01,017XX Mandeville St,70117,5,POINT (-90.055004 29.97482477)
F0606922,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3685559,538594,6/6/2022 14:29,6/6/2022 14:30,6/6/2022 14:33,6/6/2022 18:48,RTF,REPORT TO FOLLOW,N,5G01,017XX Mandeville St,70117,5,POINT (-90.055004 29.97482477)
F0606922,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3685559,538594,6/6/2022 14:29,6/6/2022 14:30,6/6/2022 14:33,6/6/2022 18:48,RTF,REPORT TO FOLLOW,N,5G01,017XX Mandeville St,70117,5,POINT (-90.055004 29.97482477)
F0606922,34 S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3685559,538594,6/6/2022 14:29,6/6/2022 14:30,6/6/2022 14:33,6/6/2022 18:48,RTF,REPORT TO FOLLOW,N,5G01,017XX Mandeville St,70117,5,POINT (-90.055004 29.97482477)
F0612322,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3680043,534847,6/6/2022 15:25,,,6/6/2022 16:59,DUP,DUPLICATE,N,1F02,N Claiborne Ave & Saint Ann St,70116,1,POINT (-90.07255299 29.96468851)
E1677922,27-64G,Relevant video was found,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3707403,557286,5/15/2022 23:43,,5/15/2022 23:43,5/16/2022 5:45,RTF,REPORT TO FOLLOW,Y,7R03,052XX Norgate Dr,70127,7,POINT (-89.98531906 30.02553247)
F0549322,62C,Relevant video was found,62C,SIMPLE BURGLARY VEHICLE,2A,62C,SIMPLE BURGLARY VEHICLE,1G,3681215,531603,6/6/2022 0:19,6/6/2022 1:16,6/6/2022 1:18,6/6/2022 3:49,RTF,REPORT TO FOLLOW,N,8D04,008XX Bienville St,70112,8,POINT (-90.06896671 29.95573453)
F0545022,100,Relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,37369000,3513814,6/5/2022 22:59,6/5/2022 23:31,6/6/2022 0:05,6/6/2022 1:00,RTF,REPORT TO FOLLOW,N,2L02,012XX Blk Broadway St,None,0,POINT (0 0)
F0553622,56,Relevant video was found,56,SIMPLE CRIMINAL DAMAGE,1F,56,SIMPLE CRIMINAL DAMAGE,1F,3681923,532164,6/6/2022 1:59,,6/6/2022 2:35,6/6/2022 3:42,RTF,REPORT TO FOLLOW,N,8D05,005XX Bourbon St,70130,8,POINT (-90.06671041 29.95725491)
F0570022,20,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1E,20,AUTO ACCIDENT,1E,3696211,551408,6/6/2022 7:31,,6/6/2022 7:39,6/6/2022 16:26,GOA,GONE ON ARRIVAL,N,7A01,Downman Rd & Chef Menteur Hwy,70126,7,POINT (-90.0208964 30.00972827)
F0468722,62C,Relevant video was found,62C,SIMPLE BURGLARY VEHICLE,1G,62C,SIMPLE BURGLARY VEHICLE,1G,3681635,526374,6/5/2022 4:51,6/5/2022 4:51,6/5/2022 4:56,6/5/2022 6:32,RTF,REPORT TO FOLLOW,N,8G01,009XX Poeyfarre St,70130,8,POINT (-90.06782202 29.94134282)
F0587622,20,Relevant video was found,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1E,3714910,564902,6/6/2022 10:52,6/6/2022 11:18,6/6/2022 11:18,6/6/2022 12:50,RTF,REPORT TO FOLLOW,N,7I10,I-10 W & Bullard Ave,70128,7,POINT (-89.96131183 30.0462278)
F0604222,20,Relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3677861,527530,6/6/2022 14:05,6/6/2022 16:14,,6/6/2022 16:27,NAT,Necessary Action Taken,N,6H03,Clio St & Simon Bolivar Ave,70113,6,POINT (-90.07969833 29.94463567)
F0430922,67A,Relevant video was found,67A,AUTO THEFT,1D,64A,HOLD UP ALARM,2D,3679293,532064,6/4/2022 19:42,6/4/2022 19:43,6/4/2022 19:48,6/4/2022 21:03,RTF,REPORT TO FOLLOW,N,8J04,014XX Blk Canal St,70112,8,POINT (-90.07501976 29.95705967)
F0891622,21,Relevant video was found,21,COMPLAINT OTHER,1J,100,HIT & RUN,1G,3682841,540994,6/9/2022 7:03,6/9/2022 7:31,,6/9/2022 7:50,NAT,Necessary Action Taken,N,5K02,020XX N Rocheblave St,70119,5,POINT (-90.06350176 29.98150778)
F0586922,106,Relevant video was found,21,COMPLAINT OTHER,1J,106,"OBSCENITY, EXPOSING",2C,3674243,521515,6/6/2022 10:44,6/6/2022 11:00,6/6/2022 11:06,6/6/2022 12:01,NAT,Necessary Action Taken,N,6D01,Louisiana Ave & Saint Charles Ave,70115,6,POINT (-90.09132645 29.92820594)
F0371722,30S,Relevant video was found,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3704922,559224,6/4/2022 6:20,6/4/2022 6:21,6/4/2022 6:22,6/4/2022 8:58,RTF,REPORT TO FOLLOW,N,7O09,008XX Blk N I-10 Service Rd,70127,7,POINT (-89.99308726 30.03093947)
F0603622,64G,Relevant video was found,64G,ARMED ROBBERY WITH GUN,2C,37,AGGRAVATED ASSAULT,2E,3684942,538108,6/6/2022 13:57,6/6/2022 14:00,6/6/2022 14:05,6/6/2022 17:55,RTF,REPORT TO FOLLOW,N,5B03,022XX N Claiborne Ave,70117,5,POINT (-90.05696763 29.97350812)
F0679222,21,Relevant video was found,21,COMPLAINT OTHER,1A,21,COMPLAINT OTHER,1J,3696355,520530,6/7/2022 8:23,6/7/2022 8:31,6/7/2022 8:39,6/7/2022 9:47,NAT,Necessary Action Taken,N,4C02,Westbend Pkwy & General De Gaulle Dr,70114,4,POINT (-90.02156063 29.92481845)
F0680522,18,Relevant video was found,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,3671103,525868,6/7/2022 8:41,,6/7/2022 8:41,6/7/2022 8:54,NAT,Necessary Action Taken,Y,2O01,Milan St & S Claiborne Ave,70125,2,POINT (-90.10109215 29.94026844)
F0682922,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3696211,551408,6/7/2022 9:06,6/7/2022 10:02,6/7/2022 10:09,6/7/2022 11:20,RTF,REPORT TO FOLLOW,N,7A01,Downman Rd & Chef Menteur Hwy,70126,7,POINT (-90.0208964 30.00972827)
F0682522,22D,Relevant video was found,22D,DIRECTED PATROL,1J,22D,DIRECTED PATROL,1J,3664467,534807,6/7/2022 9:03,,6/7/2022 9:03,6/7/2022 9:24,NAT,Necessary Action Taken,Y,2S02,Fig St & Eagle St,70118,2,POINT (-90.12174289 29.96504012)
F0683022,20,Relevant video was found,21,COMPLAINT OTHER,1J,20I,AUTO ACCIDENT WITH INJURY,2D,3667061,537069,6/7/2022 9:07,,6/7/2022 9:44,6/7/2022 10:52,NAT,Necessary Action Taken,N,3A02,Monroe St & Peach St,70118,3,POINT (-90.11347462 29.97118616)
F0736022,24,Relevant video was found,24,MEDICAL,1A,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,37369000,3513814,6/7/2022 18:04,6/7/2022 20:34,6/7/2022 20:38,6/7/2022 20:41,NAT,Necessary Action Taken,N,1C02,Saint Bernard Ave & N Broad St,70119,1,POINT (0 0)
F0740322,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3683737,537932,6/7/2022 18:45,6/7/2022 20:59,6/7/2022 21:05,6/8/2022 0:05,RTF,REPORT TO FOLLOW,N,5A04,Pauger St & N Claiborne Ave,70116,5,POINT (-90.06078169 29.97306012)
F0747322,94,No relevant video was found,94,DISCHARGING FIREARM,1A,94,DISCHARGING FIREARM,2D,3725570,559547,6/7/2022 20:26,6/7/2022 20:34,6/7/2022 20:42,6/7/2022 20:54,GOA,GONE ON ARRIVAL,N,7L01,Chef Menteur Hwy & Michoud Blvd,70129,7,POINT (-89.92782714 30.03114754)
F0746722,56,Relevant video was found,56,SIMPLE CRIMINAL DAMAGE,1F,62R,RESIDENCE BURGLARY,1E,3672215,525968,6/7/2022 20:20,6/7/2022 20:28,6/7/2022 20:33,6/7/2022 21:39,RTF,REPORT TO FOLLOW,N,2O01,029XX Louisiana Ave,70115,2,POINT (-90.09757744 29.94050965)
F0764022,67,Relevant video was found,67,THEFT,1G,21,COMPLAINT OTHER,1J,3681810,532085,6/8/2022 0:11,,6/8/2022 0:11,6/8/2022 1:24,RTF,REPORT TO FOLLOW,Y,8D05,Bourbon St & Saint Louis St,70112,8,POINT (-90.06706964 29.95704093)
F0777922,64J,No relevant video was found,64J,CARJACKING,2C,64J,CARJACKING,2C,3700714,519486,6/8/2022 4:55,6/8/2022 5:03,6/8/2022 5:07,6/8/2022 6:21,RTF,REPORT TO FOLLOW,N,4D01,032XX Kabel Dr,70131,4,POINT (-90.0078363 29.92181139)
F0777922,64J,Relevant video was found,64J,CARJACKING,2C,64J,CARJACKING,2C,3700714,519486,6/8/2022 4:55,6/8/2022 5:03,6/8/2022 5:07,6/8/2022 6:21,RTF,REPORT TO FOLLOW,N,4D01,032XX Kabel Dr,70131,4,POINT (-90.0078363 29.92181139)
F0630322,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3666623,533430,6/6/2022 18:54,6/6/2022 19:29,6/6/2022 19:31,6/6/2022 20:55,RTF,REPORT TO FOLLOW,N,2T03,Earhart Blvd & S Carrollton Ave,70118,2,POINT (-90.11498136 29.96119106)
F0644922,56,Relevant video was found,56,SIMPLE CRIMINAL DAMAGE,1F,62B,BUSINESS BURGLARY,2C,3681161,530642,6/6/2022 21:35,6/6/2022 21:55,,6/6/2022 22:35,DUP,DUPLICATE,N,8G04,Canal St & Saint Charles Ave,70130,8,POINT (-90.06917089 29.95309407)
F0597322,67F,Relevant video was found,67F,THEFT BY FRAUD,1D,67,THEFT,1G,3681488,531661,6/6/2022 12:40,6/6/2022 16:32,6/6/2022 16:34,6/6/2022 20:35,RTF,REPORT TO FOLLOW,N,8D04,003XX Blk Bourbon St,70112,8,POINT (-90.06810205 29.95588434)
F0597322,67F,Relevant video was found,67F,THEFT BY FRAUD,1D,67,THEFT,1G,3681488,531661,6/6/2022 12:40,6/6/2022 16:32,6/6/2022 16:34,6/6/2022 20:35,RTF,REPORT TO FOLLOW,N,8D04,003XX Blk Bourbon St,70112,8,POINT (-90.06810205 29.95588434)
F0666922,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3686244,539001,6/7/2022 4:06,6/7/2022 10:12,6/7/2022 10:12,6/7/2022 10:28,GOA,GONE ON ARRIVAL,N,5G02,N Roman St & Saint Roch Ave,70117,5,POINT (-90.05282613 29.9759216)
F0757322,95G,Relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3703923,555540,6/7/2022 22:38,,,6/7/2022 22:38,NAT,Necessary Action Taken,N,7.00E+01,Viola St & Hammond St,70126,7,POINT (-89.99638104 30.02084365)
F0739122,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3679553,528670,6/7/2022 18:31,6/7/2022 20:30,6/7/2022 20:40,6/7/2022 21:50,RTF,REPORT TO FOLLOW,N,8H01,007XX Baronne St,70113,8,POINT (-90.07431489 29.94772018)
F0623522,20,Relevant video was found,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1E,3710276,561560,6/6/2022 17:33,6/6/2022 17:41,6/6/2022 17:52,6/6/2022 19:01,RTF,REPORT TO FOLLOW,N,7I06,I-10 W & Read Blvd,70127,7,POINT (-89.9760807 30.03719174)
F0628122,20,Relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3691622,548611,6/6/2022 18:26,6/6/2022 21:47,,6/6/2022 21:47,VOI,VOID,N,5Q04,Louisa St & Almonaster Ave,70126,5,POINT (-90.03549661 30.00218012)
F0693122,56,No relevant video was found,62C,SIMPLE BURGLARY VEHICLE,1G,55,AGGRAVATED CRIMINAL DAMAGE,1D,3677466,525016,6/7/2022 10:53,6/7/2022 10:54,6/7/2022 11:16,6/7/2022 12:16,RTF,REPORT TO FOLLOW,N,6G01,018XX Blk Saint Andrew St,70113,6,POINT (-90.08103056 29.93773392)
F0855822,21,Relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3682138,532517,6/8/2022 20:25,,6/8/2022 20:25,6/8/2022 21:25,NAT,Necessary Action Taken,Y,8D06,006XX Blk Bourbon St,70112,8,POINT (-90.06601827 29.95821846)
F0855722,58R,Relevant video was found,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1I,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1I,3689007,554729,6/8/2022 20:25,,6/8/2022 20:25,6/9/2022 1:38,NAT,Necessary Action Taken,Y,3V01,057XX Blk Press Dr,70126,3,POINT (-90.04353874 30.01908478)
F0875722,107,Relevant video was found,21,COMPLAINT OTHER,1J,107,SUSPICIOUS PERSON,2C,3680912,532856,6/9/2022 0:45,6/9/2022 0:45,6/9/2022 0:45,6/9/2022 0:52,NAT,Necessary Action Taken,N,1.00E+03,005XX N Rampart St,70112,1,POINT (-90.06987869 29.95918889)
F1173422,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3681624,533641,6/11/2022 18:23,,6/11/2022 18:23,6/11/2022 20:44,GOA,GONE ON ARRIVAL,Y,8.00E+01,N Rampart St & Saint Ann St,70116,8,POINT (-90.06760442 29.96132586)
F1175322,95G,Relevant video was found,95G,ILLEGAL CARRYING OF WEAPON- GUN,2D,21,COMPLAINT OTHER,1J,3670052,536177,6/11/2022 18:54,,6/11/2022 18:54,6/12/2022 1:02,RTF,REPORT TO FOLLOW,Y,1L04,Ulloa St & S Pierce St,70119,1,POINT (-90.10406003 29.96864508)
F1175322,95G,Relevant video was found,95G,ILLEGAL CARRYING OF WEAPON- GUN,2D,21,COMPLAINT OTHER,1J,3670052,536177,6/11/2022 18:54,,6/11/2022 18:54,6/12/2022 1:02,RTF,REPORT TO FOLLOW,Y,1L04,Ulloa St & S Pierce St,70119,1,POINT (-90.10406003 29.96864508)
